EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
19386,723.1836811,852.808,8215.161133,4533.523438,3868.829346,4412.131836,4505.614746,4517.994141,4009.648682,3414.702393,2252.000977,2863.007324,4547.820801,2274.3479
21250,794.1238661,852.808,2608.449951,1390.281616,1238.737305,1064.040161,898.7355957,858.125,1395.07959,1043.213135,1062.087891,803.2025146,901.005188,836.6696167
22673,856.569733,852.808,4725.246582,9294.779297,10216.19629,11010.12598,12365.96289,15122.125,2645.810059,5761.47998,3486.026123,3717.23999,12007.77441,3926.32666
20384,759.2768756,852.814,3524.164795,1913.05481,1845.87915,1416.284058,1684.742188,1218.852417,1214.764404,1175.37146,1890.27124,1499.203247,1191.978271,1513.291382
18422,688.1809791,852.82,840.0778809,1112.873779,572.7368164,615.9421387,684.5734253,589.7561646,698.3493652,754.2633667,617.1542969,491.1242676,694.9273682,397.7344666
19277,719.2281611,852.822,9481.225586,6605.401367,4725.016113,7595.807617,5258.877441,5260.128418,4121.554199,4526.305664,3518.639404,3176.819824,3951.368896,2641.823242
22407,840.130725,852.834,1484.326904,926.4119873,738.6569214,980.1904297,822.3964844,863.4663086,907.0204468,651.7166138,790.0202026,551.1950684,989.1820679,577.4020386
21472,803.1276701,852.838,20183.76758,10988.88281,7910.347656,9704.641602,8336.518555,7556.414063,8249.560547,8637.272461,5692.187012,6595.065918,6369.654297,4437.546875
20354,758.2757721,852.844,4935.131836,2865.695068,3220.378174,2714.100586,2954.667236,1459.723267,1539.187378,1570.604248,1847.73291,1834.577759,1440.926147,1785.09314
7386,378.5654209,852.875,3595.983643,2404.168457,2112.979736,2530.335938,2539.025391,4256.283691,4038.208984,4480.681641,2010.036255,1553.082886,3353.859131,1683.688599
15597,597.9568232,852.876,277.6195068,278.3062439,233.3022461,242.59375,263.4734802,293.757843,249.5961609,236.9418488,207.5569611,247.9207306,272.0756226,282.4353943
9435,433.0778064,853.095,2458.424561,1253.520508,1594.348633,2014.641724,1528.722046,2624.436035,887.3378296,880.2556763,1015.217651,887.4950562,945.0219727,895.0454102
6598,355.2138424,853.2015,1367.924561,1413.868774,1733.498413,2052.567139,1533.505615,1843.938965,2203.563232,1588.395874,1749.248901,1595.20459,2351.078125,1991.358887
21784,814.5593547,853.205,16477.82617,21742.625,51207.33203,36107.35938,40544.125,56222.10547,8677.000977,16060.03711,8736.115234,9394.583984,37715.66016,12251.14355
19919,741.1952339,853.2065,8613.294922,6581.520996,5642.61377,5590.225098,5853.646973,6205.728027,7045.12793,8710.169922,6319.895508,5159.449219,14776.77637,4968.01416
19252,718.2283906,853.216,21371.10547,12827.14844,10981.29395,12142.62598,10199.5332,9595.232422,8089.782227,9008.136719,6856.647461,6392.867676,10622.63574,6131.20166
